ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDZZ84050,Omega\OG-715,Ms. Barbara Graves,F,2018-08-06,2021-10-20,2021-11-22,0,Mexico,Yemen,14658.01,2,0,2,1939.56
IDXX14972,Adonis\AS-676,Ms. Wendy Albino,F,1998-03-30,2021-03-19,2021-09-01,1,Bosnia and Herzegovina,Paraguay,10769.2,1,1,2,2287.76
IDXX78296,Adonis\AS-908,Mr. Frank Gardner,M,1981-02-03,2021-10-10,2021-11-11,1,Bangladesh,Pitcairn Islands,16209.86,2,0,2,3552.23
IDXX03252,Adonis\AS-246,Ms. Pamela Miller,F,2001-01-15,2021-01-21,2021-04-03,1,Albania,Uganda,4592.96,0,1,2,1280.63
IDXX49995,Adonis\AS-190,Mr. Kenneth Halvorson,M,2007-02-22,2021-08-06,2021-10-06,0,Morocco,Honduras,8125.03,1,0,2,1930.66
IDZZ27199,Omega\OG-727,Mr. Roy Barrett,M,1982-04-19,2021-10-22,2022-04-03,1,Suriname,Yemen,11453.15,2,0,2,1674.62
IDZZ71355,Omega\OG-294,Ms. Elizabeth Lockwood,F,2011-03-25,2021-04-14,2022-01-01,0,Ireland,Mauritania,3614.56,1,1,2,661.91
IDYY66752,Calisto\CS-201,Ms. Inez Matheny,F,2000-06-02,2021-04-12,2021-08-17,1,United Arab Emirates,Guyana,12098.03,1,0,2,2354.65
IDYY12792,Calisto\CS-835,Mr. Tracy Johns,M,1991-06-10,2021-08-25,2022-05-17,1,Cuba,Guernsey,7160.25,2,1,1,788.97
IDXX48247,Adonis\AS-718,Mr. Adam White,M,1981-04-13,2021-08-30,2022-06-14,1,El Salvador,Japan,12588.36,2,1,1,1397.29
IDXX47321,Adonis\AS-956,Ms. Shelly Gibb,F,2012-03-10,2021-01-10,2021-02-22,0,Estonia,Cape Verde,6198.83,2,1,2,1300.09
IDZZ51679,Omega\OG-521,Ms. Olga Vega,F,1993-01-02,2021-02-11,2021-05-28,1,Tuvalu,Papua New Guinea,3725.24,1,0,2,857.72
IDZZ89351,Omega\OG-724,Ms. Kelli Nyman,F,1995-04-22,2021-01-22,2021-10-10,1,Wallis and Futuna,Laos,9556.9,0,0,2,1665.31
IDZZ46003,Omega\OG-183,Ms. Tiffany Pate,F,2005-06-27,2021-05-30,2021-07-13,1,Guinea,British Indian Ocean Territory,9223.19,1,0,2,1507.64
IDYY27418,Calisto\CS-230,Mr. Vincent Brown,M,1992-12-17,2021-09-23,2022-06-09,1,Hungary,Equatorial Guinea,5144.52,1,0,1,833.1
IDXX60211,Adonis\AS-679,Ms. Beatrice Williams,F,1990-02-06,2021-09-17,2022-04-13,1,Guam,Kuwait,9980.99,2,0,1,1302.35
IDZZ00846,Omega\OG-596,Mr. Everette Mazzaferro,M,2015-02-05,2021-08-27,2021-11-17,0,Indonesia,British Virgin Islands,18068.11,1,1,2,2231.92
IDYY75196,Calisto\CS-295,Ms. Mary Goldson,F,2021-02-12,2021-06-25,2022-05-18,0,Burundi,Swaziland,2582.21,0,1,1,562.48
IDXX35296,Omega\og-483,Ms. Joan Morris,F,1989-10-11,2021-02-02,2021-11-18,1,Cameroon,Ukraine,4897.26,1,0,1,896.26
IDYY19413,Calisto\CS-238,Mr. Joseph Mcelroy,M,Mon Nov  8 00:00:00 2004,2021-01-28,2021-06-09,1,Portugal,Saint Kitts and Nevis,5777.29,2,1,2,1102.4
IDZZ82954,Omega\OG-905,Mr. Anthony Jacobs,M,2013-02-23,2021-04-26,2021-09-08,0,Argentina,Saint Pierre and Miquelon,9529.9,1,1,2,1302.6
IDXX41594,Adonis\AS-060,Ms. Joanna Conley,F,2003-11-29,2021-01-29,2022-01-12,1,Serbia,Netherlands,1472.02,2,1,1,394.04
IDXX20601,Adonis\AS-961,Mr. William Won,M,2002-11-06,2021-09-15,2021-12-09,1,Togo,Cape Verde,2820.56,1,1,2,861.46
IDZZ36644,Omega\OG-406,Ms. April Casey,F,1981-08-25,2021-05-31,2022-03-18,1,Gabon,Macedonia [FYROM],4830.53,1,0,1,697.54
IDYY62135,Calisto\CS-328,Ms. Linda Hillian,F,1990-11-10,2021-09-03,2022-02-12,1,Cook Islands,Zimbabwe,15451.83,2,0,2,2774.24
IDZZ80538,Omega\OG-488,Ms. Nancy Hartshorn,F,1989-06-10,2021-07-10,2022-06-23,1,Ethiopia,Morocco,5507.46,0,1,1,769.32
IDYY97639,Calisto\CS-097,Mr. Robert Tuttle,M,2009-01-03,2021-08-02,2022-05-15,0,Nepal,Ireland,7668.52,1,0,2,1530.89
IDYY42438,Calisto\CS-014,Ms. Michelle Webber,F,1994-07-24,2021-11-10,2022-06-02,1,Rwanda,Turkmenistan,5473.77,2,1,1,661.38
IDXX93105,Adonis\AS-737,Ms. Luz Hall,F,1986-05-10,2021-04-20,2021-06-16,1,Samoa,Tokelau,534.08,1,0,2,510.79
IDYY95967,Calisto\CS-508,Ms. Teresa Wade,F,1985-02-10,2021-08-01,2021-10-13,1,Andorra,Réunion,8987.15,2,1,2,1552.63
IDXX51861,Adonis\AS-259,Mr. Bobby Figueroa,M,2016-04-06,2021-09-11,2021-11-29,0,Hong Kong,Eritrea,7800.35,1,0,2,1870.28
IDZZ83873,Omega\OG-529,Ms. Michele Harris,F,1981-05-04,2021-07-24,2021-12-20,1,Denmark,Mexico,9107.55,0,0,2,1448.82
IDXX69869,Adonis\AS-364,Ms. Elizabeth Munoz,F,1984-07-25,2021-05-10,2021-12-22,1,United Arab Emirates,Timor-Leste,8599.62,0,1,1,1232.71
IDZZ09882,Omega\OG-425,Mr. Richard Stachowiak,M,2009-08-30,2021-10-15,2022-07-12,0,Sweden,Jordan,3539.47,2,1,1,359.16
IDXX60641,Adonis\AS-556,Ms. Gloria Lamkin,F,2010-01-13,2021-11-28,2022-09-25,0,British Virgin Islands,Cayman Islands,1680.48,1,1,2,583.86
IDXX83820,Adonis\AS-072,Ms. Sandra Smith,F,1998-05-10,2021-01-11,2021-12-11,1,Serbia,Bangladesh,6594.92,0,1,2,1636.35
IDYY76453,Calisto\CS-426,Mr. Gary Conlon,M,2014-04-11,2021-03-06,2022-02-11,0,Argentina,Poland,12840.94,1,0,1,1335.81
IDYY33650,Calisto\CS-371,Mr. Hong Fleniken,M,2018-03-14,2021-09-19,2022-09-11,0,Togo,Guinea,7971.37,2,1,2,331.22
IDYY19867,Calisto\CS-895,Mr. Damon West,M,1998-03-17,2021-02-24,2021-04-04,1,Grenada,Guadeloupe,529.24,1,1,3,497.22
IDYY48123,Calisto\CS-726,Ms. Patricia Xu,F,2008-01-20,2021-09-04,2022-04-25,0,Antarctica,Montenegro,13208.23,2,0,1,1227.22
IDYY57076,Calisto\CS-119,Ms. Kathleen Howell,F,1989-08-30,2021-11-26,2021-12-19,0,Saint Lucia,Martinique,81.64,1,0,3,443.48
IDXX60023,Adonis\AS-486,Ms. Abigail Watts,F,2019-04-26,2021-09-23,2022-06-17,0,Kyrgyzstan,Lesotho,9222.35,0,0,1,1320.58
IDZZ78528,Omega\OG-724,Mr. Paul Blair,M,2007-08-06,2021-02-27,2021-03-08,0,Brunei,Guyana,18775.65,2,1,2,2199.08
IDZZ87838,Omega\OG-589,Ms. Barbara Champagne,F,2017-01-05,2021-09-19,2022-04-21,0,Guinea,Montenegro,4612.17,1,1,1,512.34
IDZZ11991,Omega\OG-707,Mr. Shane Summers,M,2014-11-15,2021-05-25,2022-01-07,0,Syria,Cocos [Keeling] Islands,8031.08,1,1,1,699.94
IDXX20509,Adonis\AS-540,Ms. Alisha Wilcox,F,1998-01-08,2021-06-13,2022-03-22,1,U.S. Virgin Islands,Eritrea,10977.37,1,1,1,1337.42
IDZZ33526,Omega\OG-994,Mr. Brandon Hannigan,M,1992-01-25,2021-03-22,2021-04-27,1,France,Canada,6848.31,0,1,2,1201.83
IDZZ60698,Omega\OG-349,Ms. Laura Turner,F,2005-05-28,2021-01-16,2021-12-12,1,Spain,Argentina,10683.02,1,1,2,1519.76
IDXX82131,Adonis\AS-196,Mr. Guy Brown,M,1999-14-12,2021-05-05,2022-02-14,1,Djibouti,Iraq,2384.55,2,0,1,539.47
IDYY38262,Calisto\CS-047,Ms. Kimberly Trawick,F,1999-12-20,2021-11-28,2022-04-13,1,Gabon,Estonia,6716.79,1,0,2,1502.17
IDZZ14482,Omega\OG-884,Ms. Norma Kirschner,F,2010-08-02,2021-04-09,2021-10-16,0,Bermuda,Chad,8506.72,0,0,2,1432.41
IDZZ02082,Omega\OG-768,Mr. David Goddard,M,2005-06-21,2021-05-28,2021-10-30,1,Argentina,Albania,12265.39,1,0,2,1887.67
IDYY66558,Calisto\CS-177,Ms. Edith Kealy,F,1999-06-03,2021-12-14,2022-06-04,1,Algeria,Liechtenstein,2237.81,0,1,2,820.75
IDXX97418,Adonis\AS-064,Ms. Cleo Goode,F,1996-08-16,2021-07-21,2021-10-19,1,Maldives,Libya,6491.39,0,0,2,1800.46
IDYY81143,Calisto\CS-571,Ms. Robin Guidry,F,1985-02-26,2021-08-10,2022-04-02,1,Palau,Jamaica,15519.91,1,1,2,2620.4
IDYY58068,Adonis\AS-412,Mr. Byron Waldrop,M,2002-09-13,2021-10-20,2021-10-27,1,Georgia,Heard Island and McDonald Islands,11005.57,1,1,2,1959.95
IDYY57905,Calisto\CS-509,Mr. Refugio Brill,M,1985-04-27,2021-04-15,2021-11-27,1,Liberia,Bouvet Island,6878.93,0,1,2,1478.94
IDYY14637,Calisto\CS-986,Ms. Gladys Welle,F,1993-06-09,2021-03-21,2022-03-12,1,Sierra Leone,Bolivia,6336.71,0,1,2,1401.26
IDZZ46318,Omega\OG-178,Ms. Teresa Maske,F,2016-06-29,2021-11-19,2022-10-17,0,Vietnam,New Caledonia,7377.53,2,0,1,633.95
IDYY94544,Calisto\CS-549,Mr. Henry Peterson,M,2006-02-24,2021-11-20,2022-04-29,1,Tokelau,Hong Kong,8787.54,0,1,2,1759.02
IDZZ88057,Omega\OG-158,Mr. Andrew Light,M,2013-03-12,2021-06-14,2022-03-23,0,Brunei,Djibouti,7971.37,1,1,1,703.4
IDZZ56284,Omega\OG-395,Mr. Ralph Gosz,m,2008-09-17,2021-03-02,2021-08-11,0,Thailand,Trinidad and Tobago,16489.8,1,0,2,2280.73
IDYY99024,Calisto\CS-349,Ms. Winnie Martin,F,2000-08-07,2021-10-06,Thu Dec  9 00:00:00 2021,1,Samoa,Kiribati,1214.32,0,0,2,735.99
IDYY30259,Calisto\CS-055,Mr. Fred Nix,M,1983-05-31,2021-05-21,2022-01-05,1,San Marino,Netherlands Antilles,8401.99,2,1,1,879.11
IDZZ59481,Omega\OG-230,Mr. Joseph Schrier,M,1980-02-03,2021-07-24,2021-10-11,1,Jordan,Estonia,3232.61,2,0,2,688.86
IDYY52496,Calisto\CS-477,Ms. Karen Ceruantes,F,1980-02-09,2021-10-26,2022-04-07,1,Bolivia,Wallis and Futuna,12001.94,2,0,2,2224.95
IDZZ35491,Omega\OG-863,Mr. Steven Tyson,M,2002-10-21,2021-10-22,2022-04-11,1,Somalia,Central African Republic,2801.48,2,1,2,564.22
IDYY18278,Calisto\CS-287,Mr. Edward Mccord,M,1991-01-24,2021-11-25,2022-05-11,1,Bahamas,Hungary,8497.08,1,1,2,1602.13
IDZZ74378,Omega\OG-325,Mr. George Hensley,M,2014-05-07,2021-07-27,2021-10-01,0,Northern Mariana Islands,Vietnam,3987.41,2,1,2,599.66
IDZZ01455,Omega\OG-578,Ms. Alia Geer,F,2002-03-06,2021-05-05,2021-06-15,1,Qatar,Guinea-Bissau,7096.83,0,1,2,1228.65
IDZZ68514,Omega\OG-420,Mr. Steven Sizemore,M,2018-09-26,2021-01-18,2021-10-10,0,Hong Kong,Estonia,7854.67,1,0,2,1240.71
IDZZ82672,Omega\OG-671,Ms. Barbara Gerber,F,2003-07-14,2021-02-13,2021-12-10,1,Cayman Islands,Kazakhstan,11850.91,1,0,1,1121.21
IDYY03456,Calisto\CS-857,Ms. Yvette Ware,F,2005-07-27,2021-11-15,2022-06-05,1,Ireland,Switzerland,1381.16,2,0,2,522.44
IDYY68369,Calisto\CS-094,Ms. Ashley Chien,F,1997-11-16,2021-03-12,2021-10-27,1,Marshall Islands,Vanuatu,2548.52,2,0,1,498.32
IDYY73854,Calisto\CS-463,Ms. Felica Chambers,F,2005-07-05,2021-11-09,2022-06-25,1,Lesotho,Botswana,884.78,0,0,2,676.97
IDYY41580,Calisto\CS-708,Mr. Frank Leavitt,M,2003-10-16,2021-02-19,2022-02-11,1,Burkina Faso,Tunisia,2659.92,1,1,1,568.84
IDYY37806,Calisto\CS-803,Mr. Wesley Charette,M,2010-02-17,2021-12-11,2022-12-09,0,Trinidad and Tobago,Canada,6376.99,0,0,1,939.83
IDYY51675,Calisto\CS-708,Ms. Pattie Hines,F,2019-06-15,2021-11-30,2022-07-19,1,Libya,Lithuania,3255.05,2,1,1,385.49
IDZZ05072,Omega\OG-296,Ms. Monica Harcar,F,1990-12-12,2021-03-26,2021-09-25,1,Papua New Guinea,Svalbard and Jan Mayen,11403.48,1,1,2,1598.99
IDYY15007,Calisto\CS-187,Mr. Randall Simmons,M,2001-10-02,2021-10-07,2021-12-12,1,Japan,Mauritius,10549.43,1,1,2,1893.86
IDZZ21428,Omega\OG-202,Ms. Jessica Buchanan,F,2017-02-03,2021-04-29,2021-12-03,0,Macau,Croatia,8910.95,1,0,1,829.82
IDYY26435,Calisto\CS-629,Mr. Richard Lima,M,1988-08-27,2021-02-06,2021-11-23,1,Mozambique,Sweden,8903.12,0,0,1,1250.15
IDYY68723,Calisto\CS-506,Mr. Steven Hernandez,M,1984-06-08,2021-09-16,2022-01-19,1,South Africa,Saint Vincent and the Grenadines,10208.65,1,0,2,2055.04
IDZZ49271,Omega\OG-279,Ms. Karen Mcglinchey,F,2004-08-15,2021-10-30,2021-25-12,1,Palestinian Territories,Tanzania,4265.96,2,1,3,956.59
IDZZ57151,Omega\OG-480,Mr. John Shirah,M,2014-10-14,2021-03-24,2022-02-17,0,Somalia,Angola,3627.7,1,0,1,516.28
IDZZ04605,Omega\OG-489,Mr. Joey Martinez,M,2018-11-21,2021-11-07,2022-05-30,0,Mali,Angola,4005.14,0,1,1,589.87
IDZZ91162,Omega\OG-858,Mr. Kyle Frances,M,1981-10-02,2021-10-01,2021-12-13,1,United Arab Emirates,Chile,14645.95,2,0,2,2052.16
IDXX39621,Adonis\AS-881,Ms. Connie Bratcher,F,2001-12-06,2021-18-09,2021-11-21,1,Suriname,Guyana,338.74,2,0,2,372.95
IDXX25715,Adonis\AS-768,Mr. Howard Chandler,M,2005-08-15,2021-05-15,2021-08-19,1,Peru,Papua New Guinea,15382.0,1,1,2,3117.05
IDZZ76556,Omega\OG-042,Ms. Mary Hogan,F,2005-11-14,2021-12-08,2022-06-02,1,Greece,Congo [Republic],4417.61,0,1,2,944.79
IDXX50090,Adonis\AS-996,Ms. Michele Nardo,F,2013-10-19,2021-06-12,2021-12-02,0,Suriname,Oman,12108.8,2,1,2,2358.31
IDXX88950,Adonis\AS-183,Mr. John Bucci,M,1980-08-10,2021-05-10,2021-11-19,1,San Marino,Vatican City,227.03,0,1,1,468.02
IDYY88121,Calisto\CS-621,Mr. Gene Giannakopoulo,M,2013-04-27,2021-05-06,2022-03-10,0,Benin,Bahrain,5413.92,1,1,1,666.79
IDXX09185,Adonis\AS-323,Mr. Alberto Bedell,M,2002-10-28,2021-07-02,2021-09-28,1,Canada,Colombia,6402.75,0,1,2,1605.11
IDXX93949,Adonis\AS-255,Ms. Desire Davis,F,2000-07-21,2021-04-05,2021-06-11,1,Nepal,Burundi,6784.23,0,0,2,1865.13
IDXX52231,Adonis\AS-072,Mr. Shannon Palmer,M,2006-04-02,2021-11-09,2022-03-08,0,Senegal,North Korea,12777.19,2,0,2,2754.94
IDXX02783,Adonis\AS-979,Ms. Martha Wells,F,2001-10-30,2021-09-05,2021-12-28,1,U.S. Virgin Islands,Ecuador,2675.54,2,0,2,837.27
IDXX18928,Adonis\AS-784,Ms. Kristen Hurse,F,1994-07-09,2021-11-01,2022-08-05,1,Australia,El Salvador,15403.35,1,1,1,1944.82
IDXX40195,Adonis\AS-203,Ms. Katherine Bruno,F,2012-08-25,2021-01-01,2021-05-29,0,Germany,Ethiopia,5423.25,0,1,2,1333.07
IDYY89934,Calisto\CS-055,Mr. Charles Resner,M,2016-08-17,2021-10-24,2022-02-19,0,Canada,Isle of Man,5857.19,1,0,2,1245.13
IDYY83253,Calisto\CS-772,Mr. Jeff Johnson,M,2018-02-27,2021-02-02,2021-10-14,0,Austria,Venezuela,8826.06,0,1,1,1020.14
IDYY79670,Calisto\CS-822,Ms. Mary Good,F,2018-06-13,2021-05-11,2022-02-24,0,Croatia,Uzbekistan,3963.76,1,0,1,621.07
IDZZ02517,Omega\OG-847,Ms. Tanesha Rosa,F,1987-12-11,2021-01-26,2021-10-26,1,Guam,Peru,15670.73,1,0,1,1346.5
IDXX38971,Adonis\AS-842,Mr. Harold Harris,M,1985-01-27,2021-07-06,2021-12-30,1,Guinea-Bissau,Turkey,5805.68,1,1,2,1404.82
IDYY75955,Calisto\CS-103,Mr. Clark Williams,M,2002-09-27,2021-08-28,2021-10-27,1,British Indian Ocean Territory,Rwanda,4687.34,2,1,2,940.67
IDZZ77380,Omega\OG-740,Ms. Kristine Benevides,F,1992-04-20,2021-10-30,2022-02-14,1,Syria,Burkina Faso,4793.16,1,1,2,888.54
IDYY53079,Calisto\CS-085,Ms. Janice Wagner,F,1993-06-26,2021-18-07,2021-08-13,1,Ukraine,Benin,5117.48,0,0,2,1355.08
IDXX47747,Adonis\AS-001,Mr. Earl Molina,M,1991-12-17,2021-10-28,2022-07-06,1,Samoa,Haiti,11524.77,2,1,1,1314.32
IDXX45554,Adonis\AS-267,Mr. Edgar Phillips,M,1984-09-20,2021-04-21,2021-11-07,1,Mauritius,Kyrgyzstan,7078.94,0,1,2,1722.91
IDXX11907,Adonis\AS-396,Mr. Thomas Stalker,M,2011-10-18,2021-02-15,2021-05-08,0,Dominica,Croatia,7763.01,0,1,2,1751.72
IDZZ40283,Omega\OG-424,Mr. Charles Thornhill,M,1998-12-29,2021-05-03,2021-10-21,1,Bolivia,Lithuania,11342.19,2,0,2,1663.61
IDZZ90004,Omega\OG-971,Ms. Dorothy Evans,F,1993-07-27,2021-06-09,2022-05-30,1,Antigua and Barbuda,Haiti,1130.3,2,1,1,332.04
IDYY22193,Calisto\CS-762,Ms. Marjorie Alcott,F,2000-08-13,2021-05-24,2022-02-19,1,Latvia,Albania,1779.36,1,1,2,641.24
IDZZ77349,Omega\OG-539,Ms. Martha Kestner,F,1980-03-13,2021-04-09,2022-03-29,1,Haiti,Bouvet Island,10840.37,2,1,1,857.36
IDYY92794,Calisto\CS-652,Ms. Constance Brown,F,1991-02-14,2021-11-07,2022-01-18,1,Belarus,France,2007.8,1,1,2,682.36
IDXX08066,Adonis\AS-410,Mr. Edward Salas,M,1983-09-06,2021-07-03,2022-03-08,1,Mayotte,Central African Republic,3444.28,1,1,1,669.65
IDZZ24380,Omega\OG-038,Ms. Karen Patterson,F,2017-02-14,2021-09-22,2021-10-03,0,Turks and Caicos Islands,Vanuatu,13830.32,1,1,3,2512.8
IDXX74714,Adonis\AS-954,Mr. Jonathan Porter,M,1994-09-30,2021-08-22,2021-12-17,1,Belarus,Kyrgyzstan,3707.75,0,0,2,1233.07
