ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX17488,Adonis\AS-398,Ms. Annie Serna,F,1980-04-18,2021-01-14,2021-05-26,1,Jersey,Thailand,9607.62,2,1,2,
IDXX21035,Adonis\AS-187,Mr. Joshua Pomeroy,M,1992-12-14,2021-08-08,2022-02-14,1,Canada,Malawi,14201.56,2,0,1,1716.44
IDXX80453,Adonis\AS-953,Mr. Ralph Romano,M,1986-12-02,2021-02-21,2021-05-12,1,Barbados,Morocco,5715.95,0,0,2,1649.74
IDYY04178,Calisto\CS-355,Ms. Lola Carver,F,1990-07-21,2021-03-04,2021-10-24,1,Marshall Islands,North Korea,5692.98,1,1,2,1209.56
IDZZ26729,Omega\OG-093,Mr. Thomas Kuhn,M,1990-10-18,2021-11-30,2022-02-22,1,Mauritania,Vanuatu,19372.09,1,0,2,2730.95
IDZZ31831,Omega\OG-952,Ms. India Binkley,F,2014-04-25,2021-07-13,2022-02-28,0,Saint Pierre and Miquelon,Guadeloupe,3375.91,2,0,1,
IDZZ01499,Omega\OG-362,Mr. James Ramage,M,1981-02-13,2021-09-29,2022-01-03,1,Somalia,India,3935.6,1,1,2,797.19
IDXX39732,Adonis\AS-482,Ms. Stephanie He,F,2018-12-07,2021-07-10,2022-04-25,0,Antigua and Barbuda,Nigeria,7656.96,2,0,1,
IDZZ11425,Omega\OG-227,Ms. Paula Donatello,F,1999-02-24,2021-05-02,2021-12-26,1,Montserrat,Czech Republic,7723.46,0,1,2,1304.55
IDZZ13372,Omega\OG-850,Mr. William Hale,M,1990-03-01,2021-06-19,2021-06-28,1,Norway,Myanmar [Burma],7773.42,2,0,2,
IDZZ91504,Omega\OG-947,Ms. Mabel Stevens,F,2012-09-04,2021-02-18,2021-06-09,0,Fiji,Maldives,11847.3,2,0,2,1617.24
IDZZ33306,Omega\OG-238,Mr. Kenneth Harrison,M,1991-03-13,2021-09-05,2022-08-25,1,Serbia,Kazakhstan,3524.25,0,1,1,658.26
IDXX34173,Adonis\AS-615,Mr. Warren Russotti,M,1991-10-29,2021-10-05,2022-08-19,1,Vatican City,Heard Island and McDonald Islands,12079.64,1,0,1,1611.09
IDXX40565,Adonis\AS-234,Ms. Candace Clay,F,2018-09-07,2021-04-10,2022-03-24,0,Australia,Namibia,11231.96,1,0,1,1424.52
IDYY74792,Calisto\CS-920,Ms. Patricia Leuthauser,F,2013-06-29,2021-08-14,2022-01-31,0,Georgia,Cayman Islands,11069.96,2,1,2,
IDXX41712,Adonis\AS-018,Mr. Gerald Gooden,M,1996-07-17,2021-09-19,2022-08-05,1,Mexico,Myanmar [Burma],14584.93,1,1,1,1676.91
IDYY96973,Calisto\CS-159,Mr. Jeff Barnett,M,2013-05-17,2021-01-14,2021-11-17,0,Panama,Haiti,1479.88,1,0,1,426.86
IDXX35322,Adonis\AS-813,Mr. Roger Georgi,M,1981-06-04,2021-07-31,2022-06-12,1,Germany,Nigeria,4687.47,1,0,2,1332.43
IDYY63141,Calisto\CS-308,Mr. Mike Smith,M,2020-03-01,2021-12-26,2022-01-11,0,China,Saint Vincent and the Grenadines,14389.1,2,0,2,2483.24
IDYY77227,Calisto\CS-406,Mr. Keven Thompson,M,1998-06-07,2021-03-27,2022-03-12,1,Bouvet Island,Pakistan,11345.63,1,0,2,2233.92
IDXX63314,Adonis\AS-423,Mr. Kevin Kahl,M,2004-04-20,2021-03-21,2021-11-25,1,Burkina Faso,New Zealand,16827.66,2,0,1,
IDYY84932,Calisto\CS-077,Ms. Jo Easterling,F,1987-09-06,2021-01-28,2021-10-28,1,Haiti,Ecuador,2403.92,0,0,1,734.28
IDXX07397,Adonis\AS-927,Ms. Shayla Roberts,F,1990-01-22,2021-03-23,2021-05-14,1,U.S. Virgin Islands,Nigeria,7976.35,0,0,2,2100.91
IDXX81502,Adonis\AS-624,Mr. Terry Miller,M,1980-08-11,2021-03-27,2021-10-17,1,Malta,Saudi Arabia,3233.95,2,0,2,944.13
IDZZ28228,Omega\OG-562,Ms. Lora Willsey,F,2010-04-06,2021-08-02,2022-01-13,0,Czech Republic,Solomon Islands,14506.8,1,1,2,
IDZZ94837,Omega\OG-937,Ms. Bonnie Chung,F,1992-03-30,2021-01-10,2021-04-19,1,Saint Kitts and Nevis,Central African Republic,9135.43,2,1,2,
IDYY47025,Calisto\CS-242,Ms. Hazel Sharp,F,1992-01-27,2021-08-09,2021-09-25,1,Equatorial Guinea,North Korea,12164.26,2,0,3,3224.4
IDZZ28131,Omega\OG-669,Mr. Kevin Middleton,M,1990-12-13,2021-09-18,2022-07-20,1,Martinique,Cocos [Keeling] Islands,17628.63,1,0,1,
IDXX51355,Adonis\AS-083,Mr. David Shurley,M,1991-03-13,2021-04-15,2021-05-23,1,Estonia,Chile,13703.04,1,1,3,4057.52
