ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDZZ14923,Omega\OG-575,Ms. Wanda Rogers,F,1982-01-18,2021-01-31,2022-01-14,1,Greenland,Saint Kitts and Nevis,6193.17,1,0,1,779.17
IDXX14480,Adonis\AS-530,Ms. Rose Cook,F,2021-06-13,2021-04-24,2022-01-16,0,Liberia,Pakistan,8580.89,0,1,2,1916.73
IDYY71035,Calisto\CS-875,Ms. Graciela Ortega,F,1995-12-21,2021-09-17,2021-10-30,1,Jamaica,Japan,12927.07,2,1,3,3061.45
IDZZ91697,Omega\OG-425,Mr. Michael Corell,M,2001-06-29,2021-10-04,2021-12-15,1,Netherlands Antilles,Côte d'Ivoire,6970.61,2,0,2,1135.5
IDYY18076,Calisto\CS-884,Mr. Cody Ware,M,1990-08-20,2021-10-28,2021-12-28,1,Ukraine,Moldova,234.81,0,1,2,515.79
IDZZ94951,Omega\OG-973,Mr. Eric Myers,M,1980-11-11,2021-04-17,2022-01-10,1,Cocos [Keeling] Islands,Central African Republic,8657.47,2,0,1,825.83
IDZZ74109,Omega\OG-710,Mr. Ernest Hixson,M,2016-02-20,2021-11-17,2022-09-27,0,Guatemala,Bangladesh,15643.1,2,0,1,1127.63
IDYY54685,Calisto\CS-211,Mr. Joseph Decker,M,1995-12-16,2021-06-06,2021-12-14,1,Venezuela,Belgium,8132.08,2,0,1,953.57
IDZZ64612,Omega\OG-118,Ms. Julie Hawkins,F,1999-07-20,2021-12-22,2022-03-09,1,Norfolk Island,Pakistan,12356.27,2,1,2,1599.32
IDZZ30868,Omega\OG-989,Mr. Jeffery Harley,M,2004-11-15,2021-01-21,2021-09-07,1,Montserrat,Aruba,960.58,2,1,1,333.19
IDZZ30831,Omega\OG-577,Ms. Norma Chick,F,2014-03-08,2021-10-26,2022-08-26,0,Nauru,Anguilla,14230.18,2,1,1,936.09
IDXX59109,Adonis\AS-098,Ms. Mari Gossard,F,1997-02-14,2021-12-15,2022-08-31,1,Egypt,Cambodia,7836.4,1,1,1,1054.63
IDXX08892,Adonis\AS-019,Ms. Patrice Little,F,2018-04-13,2021-04-25,2021-05-21,0,Solomon Islands,Dominica,15486.07,2,0,2,3293.08
IDXX70834,Adonis\AS-146,Ms. Abby Wise,F,2001-08-20,2021-11-01,2022-04-08,1,United States,Ethiopia,13158.01,1,0,2,3029.7
IDXX27968,Adonis\AS-407,Mr. George Brimfield,M,2006-10-31,2021-10-28,2021-11-04,0,United Kingdom,Serbia,2148.69,1,0,2,739.48
IDXX62995,Adonis\AS-440,Ms. Carol Lacy,F,1980-05-12,2021-07-14,2022-02-28,1,U.S. Virgin Islands,Northern Mariana Islands,14864.69,1,0,1,1893.64
IDYY98691,Calisto\CS-534,Mr. Joseph Holly,M,2010-01-25,2021-11-27,2022-08-10,0,Austria,Tanzania,6322.86,2,0,1,687.32
IDZZ54908,Omega\OG-101,Mr. Sergio Cole,M,1991-08-06,2021-08-08,2022-02-05,1,Luxembourg,Brunei,10944.92,1,0,2,1723.46
IDYY99275,Calisto\CS-725,Ms. Robin Corey,F,1993-10-02,2021-06-04,2022-01-29,1,Bulgaria,Greenland,4796.22,0,0,2,1303.05
IDZZ62391,Omega\OG-663,Ms. Brenda Harris,F,1988-10-18,2021-03-25,2021-12-22,1,Réunion,Nepal,6309.8,2,0,1,338.23
IDXX45530,Adonis\AS-067,Mr. Robert Palmer,M,2007-12-23,2021-10-30,2022-09-01,0,Monaco,India,6989.73,2,0,1,902.14
IDXX20394,Adonis\AS-256,Mr. Armando Schneider,M,1991-01-09,2021-11-07,2022-05-29,1,Benin,Algeria,2085.68,0,1,2,831.41
IDZZ89180,Omega\OG-337,Ms. Loretta Lord,F,1994-11-10,2021-06-13,2022-02-14,1,Hong Kong,Turkmenistan,5450.75,0,0,1,847.5
IDZZ27966,Omega\OG-582,Mr. David Ambler,M,2012-04-11,2021-07-22,2022-06-12,0,Western Sahara,Jordan,4868.83,1,1,2,793.16
IDYY71562,Calisto\CS-883,Ms. Mabel Janssen,F,2001-02-17,2021-11-27,2022-09-06,1,Tonga,Guinea-Bissau,17666.09,1,1,1,1647.89
IDYY60096,Calisto\CS-988,Mr. Glenn Gill,M,1993-03-30,2021-07-30,2022-06-18,1,Trinidad and Tobago,Netherlands Antilles,871.9,2,1,2,395.26
IDZZ85995,Omega\OG-780,Ms. Debra Robbins,F,2011-08-17,2021-06-22,2021-08-14,0,Guinea,Tanzania,5266.58,2,1,3,1022.56
IDZZ68672,Omega\OG-845,Ms. Whitney French,F,1991-07-17,2021-10-17,2021-12-03,1,Qatar,Macau,6304.64,2,1,2,947.79
IDXX72997,Adonis\AS-350,Ms. Tiffanie Parks,F,1986-03-29,2021-02-10,2021-09-13,1,Guyana,Antarctica,9704.31,2,1,1,575.345
